ASCII data file with an example of radar Doppler data from a single dwell
Measurements are from the Thales X-Band weather radar, 
installed at the Toulouse Blagnac airport during the UFO measurement campaign.
First dwell from the file WX_DOP_ROT_20140424_WF12_TUD.h5
which is the same as the first dwell from the file WX_DOP_ROT_140424140843_WF12

Azimuth     : 3.130000114440918 rad (measured clockwise from the Geographic North Pole)
Elevation   : 0.11299999803304672 rad (measured from the horizon (0 rad) upwards)
Lat         : 43.617555
Lon         : 1.387444
Height      : 168.0 m
FREQ        : 9502 MHz
vel_amb     : 63.1 ms-1

slant range : Slant range (meter) to the leading edge of the range bins.
power       : Uncalibrated power
rad_vel     : Radial Doppler velocity estimated from the Doppler phase shift


slant_range    power          rad_vel        
3.310e+04      4.450e+01      4.780e+00      
3.320e+04      5.300e+01      6.220e+00      
3.330e+04      5.600e+01      5.990e+00      
3.340e+04      5.350e+01      5.950e+00      
3.360e+04      4.550e+01      6.000e+00      
3.370e+04      4.650e+01      6.570e+00      
3.380e+04      5.150e+01      6.490e+00      
3.390e+04      4.850e+01      5.850e+00      
3.400e+04      5.550e+01      6.240e+00      
3.410e+04      5.100e+01      6.220e+00      
3.420e+04      4.800e+01      6.550e+00      
3.430e+04      5.150e+01      6.220e+00      
3.440e+04      5.100e+01      5.820e+00      
3.450e+04      5.200e+01      6.250e+00      
3.460e+04      4.650e+01      6.690e+00      
3.470e+04      4.550e+01      5.160e+00      
3.490e+04      4.950e+01      6.270e+00      
3.500e+04      4.900e+01      6.100e+00      
3.510e+04      4.850e+01      6.450e+00      
3.520e+04      5.050e+01      6.690e+00      
3.530e+04      4.800e+01      6.560e+00      
3.540e+04      5.000e+01      6.840e+00      
3.550e+04      4.800e+01      6.100e+00      
3.560e+04      4.350e+01      5.750e+00      
3.570e+04      4.650e+01      5.280e+00      
3.580e+04      4.750e+01      6.700e+00      
3.590e+04      4.850e+01      6.320e+00      
3.610e+04      5.050e+01      6.790e+00      
3.620e+04      5.000e+01      6.450e+00      
3.630e+04      4.900e+01      6.130e+00      
3.640e+04      4.800e+01      6.150e+00      
3.650e+04      5.200e+01      6.470e+00      
3.660e+04      4.950e+01      6.250e+00      
3.670e+04      5.250e+01      6.620e+00      
3.680e+04      5.100e+01      6.840e+00      
3.690e+04      4.850e+01      6.330e+00      
3.700e+04      4.550e+01      4.830e+00      
3.710e+04      4.850e+01      6.190e+00      
3.720e+04      4.800e+01      6.320e+00      
3.740e+04      4.300e+01      4.850e+00      
3.750e+04      4.900e+01      6.540e+00      
3.760e+04      4.650e+01      5.030e+00      
3.770e+04      4.450e+01      6.240e+00      
3.780e+04      4.600e+01      6.360e+00      
3.790e+04      4.450e+01      6.960e+00      
3.800e+04      4.550e+01      7.110e+00      
3.810e+04      4.750e+01      6.800e+00      
3.820e+04      4.800e+01      6.160e+00      
3.830e+04      4.850e+01      6.920e+00      
3.840e+04      5.000e+01      6.660e+00      
3.850e+04      5.100e+01      7.320e+00      
3.870e+04      5.000e+01      6.910e+00      
3.880e+04      4.750e+01      7.440e+00      
3.890e+04      5.150e+01      6.390e+00      
3.900e+04      5.250e+01      6.900e+00      
3.910e+04      4.700e+01      6.440e+00      
3.920e+04      4.850e+01      7.450e+00      
3.930e+04      4.900e+01      7.310e+00      
3.940e+04      4.600e+01      6.080e+00      
3.950e+04      5.250e+01      6.760e+00      
3.960e+04      5.050e+01      7.320e+00      
3.970e+04      4.650e+01      6.850e+00      
3.980e+04      4.800e+01      6.610e+00      
4.000e+04      5.250e+01      7.490e+00      
4.010e+04      4.850e+01      7.900e+00      
4.020e+04      4.950e+01      7.320e+00      
4.030e+04      4.550e+01      7.620e+00      
4.040e+04      5.200e+01      7.050e+00      
4.050e+04      4.800e+01      7.110e+00      
4.060e+04      4.700e+01      6.610e+00      
4.070e+04      5.000e+01      7.460e+00      
4.080e+04      4.600e+01      6.320e+00      
4.090e+04      4.750e+01      7.530e+00      
4.100e+04      4.750e+01      7.710e+00      
4.120e+04      4.300e+01      7.200e+00      
4.130e+04      5.000e+01      7.020e+00      
4.140e+04      4.350e+01      5.160e+00      
4.150e+04      4.550e+01      7.450e+00      
4.160e+04      4.900e+01      7.730e+00      
